,Name,Roll_no,Age,Gender,Branch,Internships,CGPA,Hostel,Backlogs,PlacedOrNot
0,Tanisha,el15b1328,22,Female,Electrical,0,6.31,0,0,0
1,Avya,it15b1494,19,Female,Information Technology,1,8.21,0,0,1
2,Ramesh,me15b1113,21,Male,Mechanical,0,7.25,1,0,0
3,Anjali,ec15b1287,20,Female,Electronics And Communication,1,7.41,0,0,1
4,Anika,me15b1190,21,Female,Mechanical,0,7.43,0,0,0
5,Mallikarjuna Rao,me15b1300,20,Male,Mechanical,1,9.06,1,0,1
6,Yashi,it15b1528,20,Female,Information Technology,3,9.49,1,0,1
7,Sivaprasad,cs15b1599,20,Male,Computer Science,1,7.42,0,0,1
8,Ranjitsinh,el15b1194,21,Male,Electrical,0,6.02,0,1,0
9,Bhupinder,me15b1305,22,Male,Mechanical,0,5.01,0,0,0
10,Riva,me15b1387,20,Female,Mechanical,0,7.13,1,0,0
11,Alisha,cv15b1009,21,Female,Civil,0,9.29,0,0,1
12,Riva,it15b1515,19,Female,Information Technology,0,9.5,0,1,1
13,Debaprasad,ec15b1058,21,Male,Electronics And Communication,1,8.44,1,1,1
14,Kyra,cs15b1330,25,Female,Computer Science,0,7.31,0,0,0
15,Devang,ec15b1342,19,Male,Electronics And Communication,1,6.49,1,0,0
16,Aria,cs15b1328,24,Female,Computer Science,0,6.36,0,1,1
17,Kalimuthu,cv15b1248,19,Male,Civil,1,8.02,0,0,1
18,Yogesh,it15b1146,21,Male,Information Technology,2,8.31,0,1,1
19,Vani,el15b1250,19,Female,Electrical,2,7.37,0,0,1
20,Pramod,it15b1588,22,Male,Information Technology,0,7.24,0,1,0
21,Viara,it15b1518,19,Female,Information Technology,2,8.16,0,0,1
22,Mahendra,it15b1672,23,Male,Information Technology,0,7.08,0,0,0
23,Tara,cs15b1693,21,Female,Computer Science,1,8.21,0,0,1
24,Sundar,it15b1373,22,Male,Information Technology,0,6.06,0,0,0
25,Diya,el15b1150,21,Female,Electrical,0,7.49,0,0,0
26,Samar,cs15b1416,20,Male,Computer Science,1,5.49,0,0,0
27,Kia,ec15b1373,21,Female,Electronics And Communication,0,7.41,0,0,1
28,Lakshan,it15b1441,21,Male,Information Technology,0,8.03,0,0,1
29,Naveen,cv15b1055,22,Male,Civil,0,6.49,1,0,0
30,Ambika,me15b1140,22,Male,Mechanical,0,6.49,1,0,0
31,Pallav,el15b1260,19,Male,Electrical,1,6.37,0,0,0
32,Namik,cv15b1052,28,Male,Civil,0,8.35,1,0,1
33,Kalpesh,ec15b1055,22,Male,Electronics And Communication,1,6.11,0,1,0
34,Ankit,it15b1372,22,Male,Information Technology,2,7.28,0,0,0
35,Arnab,me15b1413,22,Male,Mechanical,1,8.03,1,0,1
36,Biju,cs15b1308,22,Male,Computer Science,0,8.43,1,0,1
37,Gunda,cs15b1133,22,Male,Computer Science,1,7.02,1,0,0
38,Nana,ec15b1347,21,Male,Electronics And Communication,0,8.29,0,1,1
39,Surendranath,cs15b1316,22,Male,Computer Science,0,9.45,0,0,1
40,Amit,it15b1637,20,Male,Information Technology,0,7.25,0,0,0
41,Aarvi,el15b1204,21,Female,Electrical,1,8.08,0,1,1
42,Abhishek,el15b1094,22,Male,Electrical,0,8.46,0,0,1
43,Sabyasachi,me15b1401,23,Male,Mechanical,0,6.49,1,0,0
44,Arushi,cs15b1704,20,Female,Computer Science,1,8.4,0,0,1
45,Ravinder,me15b1227,21,Male,Mechanical,1,5.34,1,0,0
46,Kiran,cs15b1242,22,Female,Computer Science,0,7.14,0,0,1
47,Vritika,cs15b1504,22,Female,Computer Science,1,8.42,1,1,1
48,Ashu,ec15b1206,23,Male,Electronics And Communication,1,6.08,0,1,1
49,Uday,cv15b1155,22,Male,Civil,1,6.4,0,1,0
50,Chandrajit,cs15b1072,22,Male,Computer Science,1,8.45,1,1,1
51,Nitesh,ec15b1110,21,Male,Electronics And Communication,1,8.47,1,1,1
52,Eswar,ec15b1203,22,Male,Electronics And Communication,1,6.49,0,0,0
53,Jadunath,me15b1123,22,Male,Mechanical,1,6.06,1,0,0
54,Myra,el15b1056,22,Female,Electrical,0,8.06,0,1,1
55,Phani,me15b1202,21,Male,Mechanical,0,6.13,1,0,0
56,Mallikarjuna Rao,cs15b1390,24,Male,Computer Science,1,6.46,0,0,1
57,Debaprasad,cs15b1611,20,Male,Computer Science,1,7.3,0,0,0
58,Pratik,it15b1506,20,Male,Information Technology,1,7.24,0,0,0
59,Aiza,cs15b1681,21,Female,Computer Science,1,8.06,1,0,1
60,Shikhar,it15b1333,21,Male,Information Technology,1,6.13,1,0,0
61,Byramjee,cs15b1366,22,Male,Computer Science,0,8.36,0,1,1
62,Diyara,cs15b1144,21,Female,Computer Science,1,7.48,0,0,0
63,Pallav,cs15b1619,21,Male,Computer Science,2,7.24,0,0,1
64,Vriti,el15b1147,21,Female,Electrical,0,8.13,0,0,1
65,Aiza,cv15b1079,25,Female,Civil,0,9.49,1,0,1
66,Harjit,ec15b1155,22,Male,Electronics And Communication,2,9.16,0,0,1
67,Abhishek,cs15b1389,22,Male,Computer Science,2,7.2,1,1,1
68,Sunil,it15b1571,20,Male,Information Technology,0,7.13,0,1,0
69,Aadhya,ec15b1143,22,Female,Electronics And Communication,2,6.46,0,0,1
70,Aria,ec15b1128,21,Female,Electronics And Communication,1,7.21,1,1,0
71,Tanisha,cv15b1284,21,Female,Civil,0,7.09,0,0,0
72,Ambika,el15b1139,21,Male,Electrical,1,8.03,0,0,1
73,Ziya,cv15b1049,21,Female,Civil,0,7.5,0,0,0
74,Dnyandeo,cs15b1737,23,Male,Computer Science,0,6.28,0,0,0
75,Yogesh,cs15b1719,20,Male,Computer Science,0,8.11,0,0,1
76,Suresh,me15b1237,21,Male,Mechanical,0,8.1,1,1,1
77,Myra,el15b1223,20,Female,Electrical,0,8.31,0,0,1
78,Aahana,cs15b1620,21,Female,Computer Science,1,6.28,0,0,0
79,Oommen,cs15b1728,20,Male,Computer Science,0,6.08,1,0,0
80,Nitin,it15b1651,21,Male,Information Technology,1,8.05,1,1,1
81,Sara,ec15b1268,22,Female,Electronics And Communication,2,8.15,0,0,1
82,Araya,cv15b1223,21,Female,Civil,1,6.24,0,0,0
83,Myra,cv15b1138,21,Female,Civil,1,9.44,0,0,1
84,Bellamkonda,cs15b1091,21,Male,Computer Science,1,6.24,0,0,0
85,Ajish,it15b1624,21,Male,Information Technology,1,8.04,1,0,1
86,Sachin,it15b1466,21,Male,Information Technology,0,7.09,0,0,0
87,Samar,it15b1394,22,Male,Information Technology,2,7.05,1,0,0
88,Tanvi,cs15b1409,20,Female,Computer Science,1,7.38,0,0,1
89,Venkata Swamy,me15b1269,24,Male,Mechanical,0,8.05,1,1,1
90,Tithira,me15b1399,21,Female,Mechanical,0,7.01,1,1,0
91,Akhil,cv15b1207,21,Male,Civil,0,7.38,1,0,0
92,Ajit,cs15b1537,22,Male,Computer Science,1,7.2,0,0,0
93,Hitendra,it15b1344,22,Male,Information Technology,3,8.02,0,0,1
94,Arya,ec15b1169,21,Female,Electronics And Communication,1,7.43,0,0,0
95,Raghu,me15b1418,21,Male,Mechanical,0,6.26,1,0,0
96,Kripesh,it15b1534,21,Male,Information Technology,2,7.21,0,0,1
97,Harpreet,ec15b1251,24,Male,Electronics And Communication,1,7.33,1,1,1
98,Hemant,me15b1111,22,Male,Mechanical,1,8.01,0,0,1
